Company,City,employee_as_of,Remote_Flag,years_at_company,years_of_exp,total_comp,base_salary,stock_rsu_comp,annual_target_bonus
ServiceMaster Brands,"Atlanta, GA",Employee as of 12/26/2022,Hybrid,2 yrs,2 yrs,"$92,000","$80,000",--,"$12,000"
Delta Apparel,"Duluth, GA",Employee as of 12/26/2022,Hybrid,1 yrs,2 yrs,"$55,000","$53,000",--,"$2,000"
FOX,"Los Angeles, CA",Employee as of 12/26/2022,Hybrid,2 yrs,3 yrs,"$119,000","$119,000",--,--
DoorDash,"New York, NY",Employee as of 12/26/2022,Office,3 yrs,4 yrs,"$244,000","$144,000","$100,000",--
Lyft,"New York, NY",Employee as of 12/26/2022,Remote,1 yrs,3 yrs,"$164,000","$119,000","$45,000",--
hidden,"New York, NY",Employee as of 12/25/2022,Office,0-1 yrs,0-1 yrs,"$117,840","$115,000","$2,840",y1
Aardy,"Miami, FL",Employee as of 12/25/2022,Hybrid,1 yrs,2 yrs,"$75,000","$75,000",--,--
The Home Depot,"Atlanta, GA",Employee as of 12/25/2022,Remote,2 yrs,3 yrs,"$95,000","$87,000","$8,000",--
Accenture,"Miami, FL",Employee as of 12/25/2022,Hybrid,1 yrs,3 yrs,"$87,010","$85,010",--,"$2,000"
Ernst and Young,"West McLean, VA",Offer from 12/24/2022,Hybrid,0 yr,1 yr,"$90,400","$82,900",--,"$7,500"
HCL Global Systems,"Raritan, NJ",Employee as of 12/24/2022,Office,2 yrs,9 yrs,"$140,000","$140,000",--,--
Porsche digital,"Atlanta, GA",Employee as of 12/24/2022,Hybrid,1 yr,1 yr,"$75,000","$75,000",--,--
hidden,"Houston, TX",Employee as of 12/23/2022,Remote,0-1 yrs,2-4 yrs,"$130,000","$115,000",--,"$15,000"
Apple,"Cupertino, CA",Employee as of 12/23/2022,Office,0 yrs,0 yrs,"$100,000","$100,000",--,--
Jane Street,"New York, NY",Employee as of 12/23/2022,Office,7 yrs,7 yrs,"$340,000","$200,000",--,"$140,000"
DriveTime,"Tempe, AZ",Employee as of 12/23/2022,Remote,1 yr,1 yr,"$83,000","$78,000",--,"$5,000"
Amazon,"Seattle, WA",Employee as of 12/23/2022,Office,3 yrs,5 yrs,"$110,000","$110,000",--,--
Wayfair,"Boston, MA",Employee as of 12/23/2022,Hybrid,1 yr,1 yr,"$96,000","$86,000",--,"$10,000"
Silicon Valley Bank,"Phoenix, AZ",Employee as of 12/23/2022,Remote,10 yrs,10 yrs,"$94,000","$94,000",--,--
Twin,"New York, NY",Employee as of 12/23/2022,Office,1 yrs,2 yrs,"$118,000","$118,000",--,--
Rockwell Automation,"New York, NY",Employee as of 12/23/2022,Remote,1 yrs,13 yrs,"$125,000","$125,000",--,--
hidden,"Pittsburgh, PA",Employee as of 12/23/2022,Remote,0-1 yrs,5-10 yrs,"$58,000","$58,000",--,--
Capital One,"West McLean, VA",Employee as of 12/22/2022,Remote,2 yrs,7 yrs,"$112,000","$112,000",--,--
Visa,"Bellevue, WA",Employee as of 12/22/2022,Office,2 yrs,5 yrs,"$133,000","$133,000",--,--
Capital One,"Plano, TX",Offer from 12/22/2022,Office,0 yrs,0 yrs,"$96,000","$96,000",--,--
EAB,"Washington, DC",Employee as of 12/22/2022,Hybrid,5 yrs,7 yrs,"$72,800","$72,800",--,--
Boeing,"Seattle, WA",Employee as of 12/22/2022,Hybrid,2 yrs,2 yrs,"$90,000","$90,000",--,--
Trimble Viewpoint,"Hartford, CT",Employee as of 12/22/2022,Remote,1 yrs,3 yrs,"$97,000","$90,000",--,"$7,000"
LG,"Jersey City, NJ",Offer from 12/22/2022,Hybrid,0 yr,1 yr,"$50,000","$50,000",--,--
Capital One,"West McLean, VA",Employee as of 12/22/2022,Office,0 yrs,2 yrs,"$135,000","$115,000",--,"$20,000"
Bank of America,"Phoenix, AZ",Employee as of 12/22/2022,Hybrid,15 yrs,15 yrs,"$118,000","$107,000","$4,000","$7,000"
The Home Depot,"Atlanta, GA",Employee as of 12/21/2022,Remote,2 yrs,3 yrs,"$95,000","$85,000","$6,000","$4,000"
Eli Lilly and Company,"Indianapolis, IN",Employee as of 12/21/2022,Hybrid,2 yrs,2 yrs,"$74,000","$74,000",--,--
McKinsey,"Washington, DC",Offer from 12/21/2022,Office,0 yrs,0 yrs,"$145,013","$112,000",--,"$33,013"
Santander Bank,"Boston, MA",Offer from 12/21/2022,Remote,0 yrs,4 yrs,"$100,000","$100,000",--,--
Slalom,"Hartford, CT",Employee as of 12/21/2022,Hybrid,1 yrs,2 yrs,"$81,000","$75,000","$6,000",--
Intercom,"San Francisco, CA",Employee as of 12/20/2022,Office,1 yrs,2 yrs,"$125,000","$125,000",--,--
Cognizant,"Plano, TX",Offer from 12/20/2022,Hybrid,0 yrs,0 yrs,"$81,250","$70,000",--,"$11,250"
Uber,"San Francisco, CA",Employee as of 12/20/2022,Office,2 yrs,7 yrs,"$142,000","$130,000",--,"$12,000"
Workday,"Dallas, TX",Employee as of 12/20/2022,Remote,2 yrs,5 yrs,"$144,000","$118,000","$15,000","$11,000"
Perficient,"Atlanta, GA",Employee as of 12/20/2022,Remote,3 yrs,5 yrs,"$113,000","$108,000",--,"$5,000"
National Institutes of Health,"Rockville, MD",Employee as of 12/19/2022,Remote,3 yrs,3 yrs,"$75,000","$75,000",--,--
hidden,"Los Angeles, CA",Employee as of 12/19/2022,Remote,1 yrs,3 yrs,"$215,625","$180,000","$35,625",y1
Tata Consultancy Services,"Denver, CO",Employee as of 12/19/2022,Office,11 yrs,11 yrs,"$90,300","$90,300",--,--
Toyota USA,"Dallas, TX",Employee as of 12/19/2022,Hybrid,3 yrs,3 yrs,"$77,000","$77,000",--,--
KPMG,"Dallas, TX",Employee as of 12/19/2022,Hybrid,2-4 yrs,2-4 yrs,"$43,000","$43,000",--,--
Allstate,"Phoenix, AZ",Employee as of 12/19/2022,Remote,1 yrs,4 yrs,"$62,000","$62,000",--,--
CBRE,"Dallas, TX",Employee as of 12/18/2022,Office,4 yrs,4 yrs,"$67,000","$67,000",--,--
Apple,"Santa Clara, CA",Employee as of 12/17/2022,Hybrid,1 yrs,11 yrs,"$230,000","$180,000","$30,000","$20,000"
Thermo Fisher Scientific,"San Diego, CA",Employee as of 12/17/2022,Hybrid,5 yrs,20 yrs,"$155,000","$140,000",--,"$15,000"
Golden 1 Credit Union,"Sacramento, CA",Employee as of 12/17/2022,Remote,10 yrs,10 yrs,"$73,000","$73,000",--,--
Optum,Minneapolis-St. Paul,Offer from 12/16/2022,Remote,0-1 yrs,5-10 yrs,"$164,000","$135,000",--,"$29,000"
Illumina,"San Diego, CA",Employee as of 12/16/2022,Hybrid,5-10 yrs,5-10 yrs,"$119,000","$99,000","$15,000","$5,000"
PayPal,"Los Angeles, CA",Employee as of 12/16/2022,Remote,1 yrs,4 yrs,"$177,000","$145,000","$17,500","$14,500"
hidden,"St. Louis, MO",Employee as of 12/16/2022,Remote,0-1 yrs,2-4 yrs,"$101,000","$95,000",--,"$6,000"
AbbVie,"Chicago, IL",Employee as of 12/16/2022,Office,2-4 yrs,5-10 yrs,"$83,000","$79,000",--,"$4,000"
Citi,"Kansas City, MO",Offer from 12/16/2022,Hybrid,0 yrs,6 yrs,"$130,000","$130,000",--,--
VMLY&R,"Atlanta, GA",Employee as of 12/16/2022,Hybrid,2 yrs,6 yrs,"$90,000","$90,000",--,--
Marsh & McLennan Companies,"Houston, TX",Employee as of 12/16/2022,Office,0 yrs,0 yrs,"$65,000","$65,000",--,--
Huntsman,Houston,Employee as of 12/15/2022,Office,2-4 yrs,2-4 yrs,"$78,000","$78,000",--,--
BP,"Houston, TX",Employee as of 12/15/2022,Office,3 yrs,3 yrs,"$105,000","$95,000",--,"$10,000"
Informa Plc,"Shawnee, KS",Employee as of 12/15/2022,Remote,1 yrs,2 yrs,"$63,000","$63,000",--,--
Albertsons,"Phoenix, AZ",Employee as of 12/15/2022,Remote,3 yrs,13 yrs,"$90,000","$90,000",--,--
Visa,"San Francisco, CA",Employee as of 12/14/2022,Office,6 yrs,6 yrs,"$320,000","$210,000","$53,000","$57,000"
United Airlines,"Chicago, IL",Employee as of 12/14/2022,Office,5 yrs,5 yrs,"$160,000","$135,000","$10,000","$15,000"
McKinsey,"New York, NY",Employee as of 12/14/2022,Office,2 yrs,2 yrs,"$170,000","$130,000",--,"$40,000"
Amazon,"Seattle, WA",Employee as of 12/14/2022,Hybrid,1 yrs,4 yrs,"$104,000","$90,000","$4,000","$10,000"
Shield Compliance,"Seattle, WA",Employee as of 12/14/2022,Office,4 yrs,5 yrs,"$85,000","$85,000",--,--
Stanford Health Care,"Palo Alto, CA",Employee as of 12/14/2022,Office,2-4 yrs,2-4 yrs,"$105,859","$105,359",--,$500
American Heart Association,"Dallas, TX",Employee as of 12/14/2022,Remote,2 yrs,5 yrs,"$84,900","$84,900",--,--
JPMorgan Chase,"Chicago, IL",Employee as of 12/14/2022,Hybrid,1 yrs,7 yrs,"$120,000","$120,000",--,--
CDW,"Chicago, IL",Employee as of 12/14/2022,Remote,2 yrs,2 yrs,"$85,000","$82,000",--,"$3,000"
GoDaddy,"San Francisco, CA",Employee as of 12/14/2022,Remote,3 yrs,6 yrs,"$190,000","$140,000","$50,000",--
Northrop Grumman,"Palmdale, CA",Employee as of 12/13/2022,Office,2 yrs,2 yrs,"$68,940","$68,940",--,--
Microsoft,"Redmond, WA",Employee as of 12/13/2022,Remote,1 yrs,7 yrs,"$165,000","$134,000","$22,000","$9,000"
Vimeo,"New York, NY",Employee as of 12/13/2022,Office,2-4 yrs,2-4 yrs,"$100,000","$83,000","$10,000","$7,000"
hidden,"Cincinnati, OH",Employee as of 12/13/2022,Office,2-4 yrs,2-4 yrs,"$65,000","$65,000",--,--
hidden,"Atlanta, GA",Employee as of 12/13/2022,Remote,2-4 yrs,5-10 yrs,"$130,000","$130,000",--,--
Xilinx,"San Jose, CA",Employee as of 12/13/2022,Office,3 yrs,5 yrs,"$124,000","$110,000","$4,000","$10,000"
Salesforce,"San Francisco, CA",Employee as of 12/13/2022,Hybrid,4 yrs,10 yrs,"$132,000","$120,000",--,"$12,000"
Stryker,"Redmond, WA",Employee as of 12/13/2022,Office,1 yr,1 yr,"$94,000","$94,000",--,--
CoverMyMeds,"Columbus, OH",Employee as of 12/13/2022,Hybrid,4 yrs,4 yrs,"$67,000","$61,000",--,"$6,000"
hidden,"Raleigh, NC",Employee as of 12/13/2022,Hybrid,2-4 yrs,2-4 yrs,"$75,000","$75,000",--,--
Intuit,"Mountain View, CA",Employee as of 12/13/2022,Hybrid,1 yrs,5 yrs,"$171,148","$110,134","$68,099","$11,013"
Blue Shield of California,"Rancho Cordova, CA",Employee as of 12/12/2022,Remote,1 yrs,5 yrs,"$157,000","$137,000",--,"$20,000"
Tata Consultancy Services,"New York, NY",Employee as of 12/12/2022,Hybrid,8 yrs,12 yrs,"$105,000","$105,000",--,--
Nike,"Beaverton, OR",Employee as of 12/12/2022,Hybrid,1 yrs,5 yrs,"$143,750","$125,000",--,"$18,750"
Nike,"Portland, OR",Employee as of 12/12/2022,Remote,1 yrs,2 yrs,"$115,000","$115,000",--,--
Cloudmed,"Orlando, FL",Employee as of 12/12/2022,Remote,0 yrs,4 yrs,"$60,000","$60,000",--,--
Healthfirst,"New York, NY",Employee as of 12/12/2022,Remote,1 yrs,3 yrs,"$90,000","$90,000",--,--
JPMorgan Chase,"Miami, FL",Employee as of 12/12/2022,Remote,5 yrs,15 yrs,"$105,000","$95,000",--,"$10,000"
Tempus,"Chicago, IL",Employee as of 12/12/2022,Hybrid,4 yrs,4 yrs,"$70,000","$68,000","$2,000",--
InvestCloud,"Tampa, FL",Employee as of 12/12/2022,Hybrid,1 yrs,8 yrs,"$140,000","$130,000",--,"$10,000"
AIG,"New York, NY",Employee as of 12/12/2022,Hybrid,0 yrs,0 yrs,"$96,000","$88,000",--,"$8,000"
Surety Systems,"Raleigh, NC",Employee as of 12/12/2022,Hybrid,1 yr,1 yr,"$45,000","$40,000",--,"$5,000"
Barclays,"New York, NY",Employee as of 12/12/2022,Office,2 yrs,2 yrs,"$100,000","$100,000",--,--
hidden,"Dallas, TX",Employee as of 12/12/2022,Remote,0-1 yrs,2-4 yrs,"$54,000","$54,000",--,--
Lockheed Martin,"Orlando, FL",Employee as of 12/12/2022,Office,2 yrs,2 yrs,"$75,000","$71,000",--,"$4,000"
Magna International,"Troy, MI",Employee as of 12/12/2022,Hybrid,5 yrs,6 yrs,"$107,500","$95,000",--,"$12,500"
Facebook,"New York, NY",Employee as of 12/12/2022,Office,1 yrs,10 yrs,"$251,250","$175,000","$50,000","$26,250"
Ernst and Young,"Jacksonville, FL",Employee as of 12/12/2022,Hybrid,1 yrs,2 yrs,"$64,000","$64,000",--,--
DXC Technology,"Plano, TX",Employee as of 12/12/2022,Remote,16 yrs,18 yrs,"$70,000","$70,000",--,--
McDonald's,"Chicago, IL",Employee as of 12/12/2022,Office,1 yr,1 yr,"$86,500","$78,500",--,"$8,000"
Blue Origin,"Seattle, WA",Employee as of 12/12/2022,Remote,1 yrs,4 yrs,"$146,000","$111,000","$35,000",--
Amazon,"Las Vegas, NV",Employee as of 12/12/2022,Office,5 yrs,7 yrs,"$83,100","$63,100","$20,000",--
RBC,"Jersey City, NJ",Employee as of 12/12/2022,Hybrid,1 yrs,2 yrs,"$76,000","$70,000",--,"$6,000"
Victoria's Secret & Co,"Columbus, OH",Employee as of 12/12/2022,Office,1 yr,1 yr,"$84,000","$76,000",--,"$8,000"
Medline Industries,"Chicago, IL",Employee as of 12/12/2022,Remote,7 yrs,11 yrs,"$99,500","$99,500",--,--
ISACA,"Chicago, IL",Employee as of 12/12/2022,Remote,4 yrs,14 yrs,"$84,500","$72,000",--,"$12,500"
Blue Origin,"San Francisco, CA",Employee as of 12/12/2022,Remote,1 yrs,3 yrs,"$111,000","$111,000",--,--
Tesla,"Palo Alto, CA",Employee as of 12/12/2022,Office,2 yrs,2 yrs,"$128,000","$100,000","$28,000",--
Caesars Entertainment,"Las Vegas, NV",Employee as of 12/12/2022,Hybrid,1 yrs,2 yrs,"$65,000","$65,000",--,--
Amazon,"Nashville, TN",Employee as of 12/11/2022,Office,1 yrs,5 yrs,"$88,500","$74,500","$1,500","$12,500"
IBM,"San Francisco, CA",Employee as of 12/11/2022,Office,28 yrs,28 yrs,"$235,000","$235,000",--,--
United Biosource,"Blue Bell, PA",Employee as of 12/11/2022,Remote,0 yrs,3 yrs,"$138,000","$120,000",--,"$18,000"
Gainwell Technologies,"West Sacramento, CA",Employee as of 12/11/2022,Remote,1 yrs,2 yrs,"$69,000","$69,000",--,--
hidden,"Irvine, CA",Employee as of 12/11/2022,Remote,0-1 yrs,2-4 yrs,"$60,000","$60,000",--,--
Adtalem Global Education,"Sterling, VA",Offer from 12/11/2022,Remote,0 yrs,3 yrs,"$85,000","$85,000",--,--
hidden,"Boston, MA",Employee as of 12/11/2022,Office,5 yrs,8 yrs,"$95,000","$90,000",--,"$5,000"
WR Berkley,"Greenwich, CT",Employee as of 12/11/2022,Hybrid,7 yrs,7 yrs,"$114,000","$100,000","$9,000","$5,000"
Boeing,"Everett, WA",Employee as of 12/11/2022,Office,3 yrs,5 yrs,"$101,952","$101,952",--,--
Vistaprint,"Seattle, WA",Offer from 12/10/2022,Remote,0 yrs,2 yrs,"$99,250","$93,000",--,"$6,250"
PitchBook Data,"Seattle, WA",Offer from 12/10/2022,Hybrid,0 yr,1 yr,"$96,750","$90,000",--,"$6,750"
hidden,"Las Vegas, NV",Employee as of 12/10/2022,Office,2-4 yrs,2-4 yrs,"$65,000","$65,000",--,--
Credit One Bank,"Las Vegas, NV",Employee as of 12/10/2022,Office,2 yrs,4 yrs,"$75,000","$75,000",--,--
ZenBusiness,"Houston, TX",Employee as of 12/09/2022,Remote,1 yrs,5 yrs,"$130,000","$130,000",--,--
Intel,"Hillsboro, OR",Employee as of 12/09/2022,Hybrid,1 yrs,6 yrs,"$118,000","$108,000","$10,000",--
WebMD Health Services,"New York, NY",Employee as of 12/09/2022,Office,3 yrs,3 yrs,"$65,000","$65,000",--,--
Lowe's,"Charlotte, NC",Employee as of 12/09/2022,Remote,3 yrs,3 yrs,"$134,071","$99,071","$15,000","$20,000"
Wayfair,"Boston, MA",Employee as of 12/09/2022,Office,3 yrs,5 yrs,"$120,000","$100,000","$10,000","$10,000"
CGI,"Fairfax, VA",Employee as of 12/09/2022,Remote,2 yrs,2 yrs,"$85,000","$83,800",--,"$1,200"
Intuit,"Mountain View, CA",Employee as of 12/08/2022,Office,2 yrs,6 yrs,"$200,000","$155,000","$45,000",--
Huntsman,"Houston, TX",Employee as of 12/08/2022,Hybrid,4 yrs,10 yrs,"$108,000","$100,000",--,"$8,000"
Novartis,"Princeton, NJ",Employee as of 12/08/2022,Office,5 yrs,13 yrs,"$317,000","$214,000","$50,000","$53,000"
Tesla,"Palo Alto, CA",Employee as of 12/08/2022,Hybrid,1 yrs,3 yrs,"$139,000","$104,000","$15,000","$20,000"
Wayfair,"Boston, MA",Employee as of 12/08/2022,Hybrid,1 yrs,3 yrs,"$115,500","$115,500",--,--
Accenture,"San Jose, CA",Employee as of 12/08/2022,Remote,1 yr,1 yr,"$71,500","$70,000",--,"$1,500"
Pearson,"Bloomington, MN",Employee as of 12/08/2022,Remote,1 yrs,2 yrs,"$70,000","$70,000",--,--
Aetna,"District Heights, MD",Employee as of 12/08/2022,Remote,1 yrs,4 yrs,"$64,000","$60,000",--,"$4,000"
Nodaway Valley Bank,"Kansas City, MO",Employee as of 12/08/2022,Office,4 yrs,4 yrs,"$42,000","$42,000",--,--
hidden,"Maumee, OH",Employee as of 12/08/2022,Office,2-4 yrs,2-4 yrs,"$88,000","$87,000",--,"$1,000"
Square,"Seattle, WA",Employee as of 12/08/2022,Office,3 yrs,5 yrs,"$182,000","$152,000","$30,000",--
hidden,"Chicago, IL",Employee as of 12/07/2022,Remote,1 yrs,4 yrs,"$112,500","$110,000","$2,500",--
hidden,"Chicago, IL",Employee as of 12/07/2022,Remote,4 yrs,6 yrs,"$74,500","$70,000",--,"$4,500"
Morgan Stanley,"Salt Lake City, UT",Employee as of 12/07/2022,Office,1 yr,1 yr,"$70,000","$70,000",--,--
Amazon,"Arlington, VA",Employee as of 12/07/2022,Office,1 yrs,7 yrs,"$195,000","$150,000","$30,000","$15,000"
Adobe,"Tucson, AZ",Employee as of 12/07/2022,Remote,3 yrs,7 yrs,"$224,000","$164,000","$35,000","$25,000"
Google,"San Francisco, CA",Employee as of 12/07/2022,Office,5 yrs,7 yrs,"$246,000","$171,000","$50,000","$25,000"
Metropolitan Transportation Authority,"New York, NY",Employee as of 12/07/2022,Hybrid,2 yrs,2 yrs,"$73,964","$73,964",--,--
Capgemini,"New York, NY",Employee as of 12/07/2022,Remote,4 yrs,4 yrs,"$95,000","$95,000",--,--
Cisco,"Raleigh, NC",Employee as of 12/07/2022,Remote,3 yrs,5 yrs,"$79,000","$75,000",--,"$4,000"
ByteDance,"Mountain View, CA",Employee as of 12/06/2022,Hybrid,1 yrs,3 yrs,"$190,000","$130,000","$25,000","$35,000"
Amazon,"San Francisco, CA",Employee as of 12/06/2022,Office,1 yrs,7 yrs,"$195,000","$155,000","$10,000","$30,000"
Apple,"Austin, TX",Employee as of 12/06/2022,Hybrid,1 yrs,8 yrs,"$135,200","$135,200",--,--
hidden,"Ridgeland, MS",Offer from 12/06/2022,Hybrid,0-1 yrs,0-1 yrs,"$60,000","$60,000",--,--
Amazon,"Seattle, WA",Employee as of 12/06/2022,Remote,2 yrs,6 yrs,"$165,000","$138,000","$27,000",--
SalesLoft,"Atlanta, GA",Employee as of 12/06/2022,Remote,0 yrs,6 yrs,"$112,875","$105,000",--,"$7,875"
Amazon,"Charlotte, NC",Employee as of 12/06/2022,Remote,1 yrs,3 yrs,"$129,000","$106,000","$8,000","$15,000"
Amazon,"Raleigh, NC",Employee as of 12/06/2022,Remote,3 yrs,3 yrs,"$109,003","$81,700","$27,303",--
Accenture,"Sacramento, CA",Employee as of 12/06/2022,Hybrid,1 yrs,2 yrs,"$88,200","$87,000",--,"$1,200"
Franklin Templeton,"San Francisco, CA",Employee as of 12/06/2022,Hybrid,7 yrs,7 yrs,"$104,500","$95,000",--,"$9,500"
The Friday Institute,"Raleigh, NC",Employee as of 12/05/2022,Office,3 yrs,5 yrs,"$88,000","$88,000",--,--
Banner Engineering,"Minneapolis, MN",Employee as of 12/05/2022,Office,2 yrs,2 yrs,"$61,500","$61,500",--,--
LiveRamp,"Boston, MA",Employee as of 12/05/2022,Remote,1 yrs,5 yrs,"$175,000","$145,000","$30,000",--
Zendesk,"San Francisco, CA",Employee as of 12/05/2022,Remote,1 yrs,6 yrs,"$141,000","$120,000","$15,000","$6,000"
hidden,"Philadelphia, PA",Employee as of 12/05/2022,Office,2-4 yrs,5-10 yrs,"$105,000","$105,000",--,--
Google,"New York, NY",Employee as of 12/05/2022,Hybrid,1 yrs,7 yrs,"$172,325","$147,000","$13,325","$12,000"
Hive Preparatory School,"Miami, FL",Employee as of 12/05/2022,Office,4 yrs,4 yrs,"$60,000","$55,000",--,"$5,000"
Uber,"San Francisco, CA",Employee as of 12/04/2022,Office,1 yrs,5 yrs,"$109,000","$109,000",--,--
Bomm Organics,"New York, NY",Employee as of 12/04/2022,Hybrid,8 yrs,8 yrs,"$110,000","$110,000",--,--
Booz Allen Hamilton,"Washington, DC",Employee as of 12/04/2022,Hybrid,1 yrs,5 yrs,"$115,000","$115,000",--,--
Capital One,"Mc Lean, VA",Offer from 12/04/2022,Hybrid,0 yrs,0 yrs,"$108,625","$106,000",--,"$2,625"
SailPoint,"Austin, TX",Offer from 12/04/2022,Office,0 yr,1 yr,"$80,000","$80,000",--,--
Twitter,"Miami, FL",Employee as of 12/04/2022,Remote,2 yrs,5 yrs,"$209,000","$149,000","$40,000","$20,000"
State Farm,"Bloomington, IL",Employee as of 12/03/2022,Hybrid,3 yrs,3 yrs,"$80,000","$80,000",--,--
JPMorgan Chase,"New York, NY",Offer from 12/03/2022,Office,0 yrs,5 yrs,"$160,000","$135,000",--,"$25,000"
Delta Air Lines,"Atlanta, GA",Employee as of 12/03/2022,Office,8 yrs,11 yrs,"$157,000","$122,000",--,"$35,000"
T Rowe,"Baltimore, MD",Employee as of 12/03/2022,Office,7 yrs,15 yrs,"$103,000","$92,000",--,"$11,000"
Amazon,"Seattle, WA",Employee as of 12/02/2022,Office,1 yrs,2 yrs,"$128,000","$100,000",--,"$28,000"
Inovalon,"Washington, DC",Employee as of 12/02/2022,Remote,2 yrs,2 yrs,"$55,000","$50,000",--,"$5,000"
Spectrum,"St. Louis, MO",Employee as of 12/02/2022,Hybrid,1 yrs,4 yrs,"$110,000","$100,000",--,"$10,000"
Boeing Intelligence & Analytics,"Arlington, VA",Employee as of 12/02/2022,Office,5 yrs,18 yrs,"$140,000","$140,000",--,--
Booz Allen Hamilton,"Rockville, MD",Employee as of 12/02/2022,Remote,3 yrs,3 yrs,"$110,000","$110,000",--,--
Pinterest,"San Francisco, CA",Employee as of 12/02/2022,Office,1 yrs,3 yrs,"$160,000","$160,000",--,--
hidden,"Columbus, OH",Employee as of 12/01/2022,Hybrid,2-4 yrs,2-4 yrs,"$82,000","$76,000",--,"$6,000"
Deloitte,"Houston, TX",Employee as of 12/01/2022,Hybrid,2 yrs,2 yrs,"$79,000","$74,000",--,"$5,000"
hidden,"San Francisco, CA",Employee as of 12/01/2022,Office,2-4 yrs,2-4 yrs,"$79,040","$79,040",--,--
hidden,"San Luis Obispo, CA",Employee as of 12/01/2022,Remote,7 yrs,7 yrs,"$72,000","$72,000",--,--
Northwestern Mutual,"Milwaukee, WI",Employee as of 12/01/2022,Office,37 yrs,37 yrs,"$102,000","$92,000",--,"$10,000"
Northwestern Mutual,"Milwaukee, WI",Employee as of 12/01/2022,Office,1 yrs,5 yrs,"$81,000","$73,000",--,"$8,000"
Gopuff,"Philadelphia, PA",Employee as of 12/01/2022,Remote,2 yrs,6 yrs,"$140,000","$140,000",--,--
Procter & Gamble,"Boston, MA",Employee as of 12/01/2022,Office,5 yrs,5 yrs,"$108,000","$103,000",--,"$5,000"
PropLogix,"Sarasota, FL",Employee as of 12/01/2022,Remote,1 yrs,10 yrs,"$125,000","$125,000",--,--
hidden,"Oakland, CA",Employee as of 12/01/2022,Remote,0-1 yrs,2-4 yrs,"$120,000","$120,000",--,--
Facebook,"Menlo Park, CA",Employee as of 12/01/2022,Office,1 yrs,12 yrs,"$234,100","$171,000","$37,500","$25,600"
Built Worlds,"Chicago, IL",Employee as of 11/30/2022,Office,1 yrs,8 yrs,"$160,000","$135,000",--,"$25,000"
USAA,"San Antonio, TX",Offer from 11/30/2022,Office,0-1 yrs,0-1 yrs,"$70,000","$70,000",--,--
hidden,"Chicago, IL",Offer from 11/30/2022,Office,0-1 yrs,0-1 yrs,"$100,000","$100,000",--,--
McKinsey,"Atlanta, GA",Offer from 11/30/2022,Office,0 yrs,0 yrs,"$131,250","$112,000",--,"$19,250"
SAP,"New York, NY",Employee as of 11/30/2022,Office,1 yrs,2 yrs,"$95,000","$95,000",--,--
Surescripts,"Arlington, VA",Offer from 11/30/2022,Hybrid,0 yrs,2 yrs,"$122,750","$108,000",--,"$14,750"
PennyMac Loan Services,"Los Angeles, CA",Offer from 11/30/2022,Office,0 yrs,0 yrs,"$65,000","$65,000",--,--
Accenture,"Arlington, VA",Offer from 11/30/2022,Office,0 yrs,0 yrs,"$88,750","$87,000",--,"$1,750"
Alliant Insurance Services,"Los Angeles, CA",Offer from 11/30/2022,Remote,0 yrs,2 yrs,"$95,000","$90,000",--,"$5,000"
DoorDash,"Boston, MA",Offer from 11/30/2022,Remote,0 yrs,6 yrs,"$371,000","$246,000","$125,000",y1
State Farm,"Bloomington, IL",Employee as of 11/30/2022,Office,3 yrs,3 yrs,"$78,000","$78,000",--,--
Barclays,"Wilmington, DE",Offer from 11/30/2022,Office,0 yrs,7 yrs,"$126,500","$115,000",--,"$11,500"
Credit Suisse,"Raleigh, NC",Employee as of 11/29/2022,Office,3 yrs,10 yrs,"$95,000","$95,000",--,--
hidden,"Denver, CO",Employee as of 11/29/2022,Remote,2-4 yrs,5-10 yrs,"$112,500","$112,500",--,--
Visa,"Austin, TX",Employee as of 11/29/2022,Hybrid,2-4 yrs,5-10 yrs,"$147,333","$126,000","$8,333","$13,000"
IBM,"New York, NY",Employee as of 11/29/2022,Office,0 yrs,0 yrs,"$100,000","$100,000",--,--
JPMorgan Chase,"Plano, TX",Offer from 11/29/2022,Hybrid,0 yrs,2 yrs,"$117,500","$100,000",--,"$17,500"
"Toast, Inc.","Orlando, FL",Employee as of 11/29/2022,Remote,0 yrs,2 yrs,"$102,200","$82,000","$12,000","$8,200"
hidden,"New York, NY",Employee as of 11/29/2022,Hybrid,2-4 yrs,2-4 yrs,"$70,000","$70,000",--,--
Amazon,"Seattle, WA",Employee as of 11/28/2022,Office,1 yrs,2 yrs,"$129,520","$109,520","$10,000","$10,000"
Clark Associates,"Lancaster, PA",Employee as of 11/28/2022,Office,1 yr,1 yr,"$63,000","$60,000",--,"$3,000"
Chronograph,"New York, NY",Employee as of 11/28/2022,Office,0 yr,1 yr,"$60,000","$60,000",--,--
PepsiCo,"New York, NY",Employee as of 11/28/2022,Remote,2-4 yrs,2-4 yrs,"$95,000","$95,000",--,--
Facebook,"Menlo Park, CA",Offer from 11/28/2022,Office,0 yrs,4 yrs,"$255,850","$179,000","$50,000",y1
Capital One,"West McLean, VA",Employee as of 11/28/2022,Office,3 yrs,6 yrs,"$150,000","$130,000",--,"$20,000"
hidden,"Kansas City, MO",Offer from 11/27/2022,Hybrid,0 yrs,2 yrs,"$95,550","$82,000",--,"$13,550"
